Date: 83.0550803426 | Trip: 1116 | Vehicle ID: 450 | Total Distance: 9.404 km | Total Time: 873.500 secs | Total Idling Time: 103.100 secs | Total Fuel Consumed: 0.466 L | Total CO2 Emissions: 538.354 g
Date: 83.6778204722 | Trip: 1120 | Vehicle ID: 450 | Total Distance: 3.907 km | Total Time: 237.200 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.211 L | Total CO2 Emissions: 229.748 g
Date: 83.7766041481 | Trip: 1122 | Vehicle ID: 450 | Total Distance: 3.004 km | Total Time: 240.000 secs | Total Idling Time: 5.700 secs | Total Fuel Consumed: 0.148 L | Total CO2 Emissions: 172.240 g
Date: 85.6019460093 | Trip: 1123 | Vehicle ID: 450 | Total Distance: 15.219 km | Total Time: 1494.400 secs | Total Idling Time: 259.700 secs | Total Fuel Consumed: 0.798 L | Total CO2 Emissions: 966.653 g
Date: 85.8348533981 | Trip: 1126 | Vehicle ID: 450 | Total Distance: 1.745 km | Total Time: 356.600 secs | Total Idling Time: 175.800 secs | Total Fuel Consumed: 0.117 L | Total CO2 Emissions: 157.321 g
Date: 85.9167063148 | Trip: 1127 | Vehicle ID: 450 | Total Distance: 1.761 km | Total Time: 139.200 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.073 L | Total CO2 Emissions: 79.346 g
Date: 87.8959141296 | Trip: 1134 | Vehicle ID: 450 | Total Distance: 3.081 km | Total Time: 229.900 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.167 L | Total CO2 Emissions: 193.672 g
Date: 89.6429831204 | Trip: 1140 | Vehicle ID: 450 | Total Distance: 1.746 km | Total Time: 236.700 secs | Total Idling Time: 46.400 secs | Total Fuel Consumed: 0.103 L | Total CO2 Emissions: 118.648 g
Date: 89.9316051574 | Trip: 1142 | Vehicle ID: 450 | Total Distance: 3.021 km | Total Time: 235.400 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.146 L | Total CO2 Emissions: 167.317 g
Date: 90.5639139259 | Trip: 1147 | Vehicle ID: 450 | Total Distance: 6.762 km | Total Time: 560.600 secs | Total Idling Time: 134.000 secs | Total Fuel Consumed: 0.290 L | Total CO2 Emissions: 337.205 g
Date: 92.6296824074 | Trip: 1153 | Vehicle ID: 450 | Total Distance: 15.899 km | Total Time: 1992.500 secs | Total Idling Time: 267.100 secs | Total Fuel Consumed: 0.878 L | Total CO2 Emissions: 991.594 g
Date: 93.6350776759 | Trip: 1156 | Vehicle ID: 450 | Total Distance: 2.972 km | Total Time: 266.400 secs | Total Idling Time: 59.600 secs | Total Fuel Consumed: 0.185 L | Total CO2 Emissions: 244.331 g
Date: 96.6145507963 | Trip: 1164 | Vehicle ID: 450 | Total Distance: 23.131 km | Total Time: 2488.800 secs | Total Idling Time: 680.200 secs | Total Fuel Consumed: 1.443 L | Total CO2 Emissions: 1778.692 g
Date: 96.7560071667 | Trip: 1167 | Vehicle ID: 450 | Total Distance: 3.917 km | Total Time: 213.300 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.263 L | Total CO2 Emissions: 288.286 g
Date: 98.8321345185 | Trip: 1176 | Vehicle ID: 450 | Total Distance: 1.150 km | Total Time: 95.400 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.059 L | Total CO2 Emissions: 66.856 g
Date: 98.9015170648 | Trip: 1178 | Vehicle ID: 450 | Total Distance: 1.189 km | Total Time: 114.700 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.075 L | Total CO2 Emissions: 95.433 g
Date: 100.598727731 | Trip: 1182 | Vehicle ID: 450 | Total Distance: 15.885 km | Total Time: 1701.400 secs | Total Idling Time: 384.200 secs | Total Fuel Consumed: 0.912 L | Total CO2 Emissions: 1106.791 g
